jay@MacBookPro ~/D/MA (main)> python src/training/rl/rl_q_learning.py                           (base) 
/Users/jay/miniconda3/lib/python3.10/site-packages/timm/models/layers/__init__.py:48: FutureWarning: Importing from timm.models.layers is deprecated, please import via timm.layers
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.layers", FutureWarning)
Using device: mps
Using a slow image processor as `use_fast` is unset and a slow processor was saved with this model. `use_fast=True` will be the default behavior in v4.52, even if the model was saved with a slow processor. This will result in minor differences in outputs. You'll still be able to use a slow processor with `use_fast=False`.
Initialized DynamicPatchEnv with patch score module: text_align_score
State dim: 515

=== Epoch 1/10 ===
Initialized DynamicPatchEnv with patch score module: text_align_score
Asking to truncate to max_length but no maximum length is provided and the model has no predefined maximum length. Default to no truncation.
TCGA-05-5715-LUAD.svs | ep 10 | R=0.571 | zoom=0.50 | lambda=1.429 | eps=1.000
TCGA-05-5715-LUAD.svs | ep 11 | R=0.571 | zoom=0.50 | lambda=1.429 | eps=1.000
TCGA-05-5715-LUAD.svs | ep 12 | R=0.571 | zoom=0.50 | lambda=1.429 | eps=1.000
TCGA-05-5715-LUAD.svs | ep 13 | R=1.000 | zoom=0.00 | lambda=1.404 | eps=1.000
TCGA-05-5715-LUAD.svs | ep 14 | R=1.000 | zoom=0.00 | lambda=1.379 | eps=1.000
TCGA-05-5715-LUAD.svs | ep 15 | R=0.621 | zoom=0.50 | lambda=1.379 | eps=1.000
TCGA-05-5715-LUAD.svs | ep 16 | R=0.621 | zoom=0.50 | lambda=1.379 | eps=1.000
TCGA-05-5715-LUAD.svs | ep 17 | R=0.242 | zoom=0.67 | lambda=1.388 | eps=1.000
TCGA-05-5715-LUAD.svs | ep 18 | R=1.000 | zoom=0.00 | lambda=1.363 | eps=1.000
TCGA-05-5715-LUAD.svs | ep 19 | R=0.275 | zoom=0.67 | lambda=1.371 | eps=1.000
TCGA-05-5715-LUAD.svs | ep 20 | R=0.629 | zoom=0.50 | lambda=1.371 | eps=1.000
Initialized DynamicPatchEnv with patch score module: text_align_score
TCGA-18-3406-LUSC.svs | ep 1 | R=1.000 | zoom=0.00 | lambda=1.346 | eps=1.000
TCGA-18-3406-LUSC.svs | ep 2 | R=0.654 | zoom=0.50 | lambda=1.346 | eps=1.000
TCGA-18-3406-LUSC.svs | ep 3 | R=0.654 | zoom=0.50 | lambda=1.346 | eps=1.000
TCGA-18-3406-LUSC.svs | ep 4 | R=0.654 | zoom=0.50 | lambda=1.346 | eps=1.000
TCGA-18-3406-LUSC.svs | ep 5 | R=-0.038 | zoom=0.75 | lambda=1.358 | eps=1.000
TCGA-18-3406-LUSC.svs | ep 6 | R=-1.433 | zoom=1.00 | lambda=1.383 | eps=1.000
TCGA-18-3406-LUSC.svs | ep 7 | R=1.000 | zoom=0.00 | lambda=1.358 | eps=1.000
TCGA-18-3406-LUSC.svs | ep 8 | R=1.000 | zoom=0.00 | lambda=1.333 | eps=1.000
TCGA-18-3406-LUSC.svs | ep 9 | R=1.000 | zoom=0.00 | lambda=1.308 | eps=1.000
TCGA-18-3406-LUSC.svs | ep 10 | R=0.383 | zoom=0.67 | lambda=1.317 | eps=1.000
TCGA-18-3406-LUSC.svs | ep 11 | R=1.000 | zoom=0.00 | lambda=1.292 | eps=1.000
TCGA-18-3406-LUSC.svs | ep 12 | R=0.708 | zoom=0.50 | lambda=1.292 | eps=1.000
TCGA-18-3406-LUSC.svs | ep 13 | R=1.000 | zoom=0.00 | lambda=1.267 | eps=1.000
TCGA-18-3406-LUSC.svs | ep 14 | R=1.000 | zoom=0.00 | lambda=1.242 | eps=1.000
TCGA-18-3406-LUSC.svs | ep 15 | R=0.758 | zoom=0.50 | lambda=1.242 | eps=1.000
TCGA-18-3406-LUSC.svs | ep 16 | R=1.000 | zoom=0.00 | lambda=1.217 | eps=1.000
TCGA-18-3406-LUSC.svs | ep 17 | R=0.783 | zoom=0.50 | lambda=1.217 | eps=1.000
TCGA-18-3406-LUSC.svs | ep 18 | R=1.000 | zoom=0.00 | lambda=1.192 | eps=1.000
TCGA-18-3406-LUSC.svs | ep 19 | R=1.000 | zoom=0.00 | lambda=1.167 | eps=1.000
TCGA-18-3406-LUSC.svs | ep 20 | R=0.667 | zoom=0.67 | lambda=1.175 | eps=1.000
Initialized DynamicPatchEnv with patch score module: text_align_score
TCGA-18-3407-LUSC.svs | ep 1 | R=1.000 | zoom=0.00 | lambda=1.150 | eps=1.000
TCGA-18-3407-LUSC.svs | ep 2 | R=0.550 | zoom=0.75 | lambda=1.163 | eps=1.000
TCGA-18-3407-LUSC.svs | ep 3 | R=0.837 | zoom=0.50 | lambda=1.163 | eps=1.000
TCGA-18-3407-LUSC.svs | ep 4 | R=0.837 | zoom=0.50 | lambda=1.163 | eps=1.000
TCGA-18-3407-LUSC.svs | ep 5 | R=0.675 | zoom=0.67 | lambda=1.171 | eps=1.000
TCGA-18-3407-LUSC.svs | ep 6 | R=0.658 | zoom=0.67 | lambda=1.179 | eps=1.000
TCGA-18-3407-LUSC.svs | ep 7 | R=0.821 | zoom=0.50 | lambda=1.179 | eps=1.000
TCGA-18-3407-LUSC.svs | ep 8 | R=0.821 | zoom=0.50 | lambda=1.179 | eps=1.000
TCGA-18-3407-LUSC.svs | ep 9 | R=1.000 | zoom=0.00 | lambda=1.154 | eps=1.000
TCGA-18-3407-LUSC.svs | ep 10 | R=1.000 | zoom=0.00 | lambda=1.129 | eps=1.000
TCGA-18-3407-LUSC.svs | ep 11 | R=1.000 | zoom=0.00 | lambda=1.104 | eps=1.000
TCGA-18-3407-LUSC.svs | ep 12 | R=1.000 | zoom=0.00 | lambda=1.079 | eps=1.000
TCGA-18-3407-LUSC.svs | ep 13 | R=0.921 | zoom=0.50 | lambda=1.079 | eps=1.000
TCGA-18-3407-LUSC.svs | ep 14 | R=1.000 | zoom=0.00 | lambda=1.054 | eps=1.000
TCGA-18-3407-LUSC.svs | ep 15 | R=0.946 | zoom=0.50 | lambda=1.054 | eps=1.000
TCGA-18-3407-LUSC.svs | ep 16 | R=0.892 | zoom=0.67 | lambda=1.063 | eps=1.000
TCGA-18-3407-LUSC.svs | ep 17 | R=1.000 | zoom=0.00 | lambda=1.038 | eps=1.000
TCGA-18-3407-LUSC.svs | ep 18 | R=1.000 | zoom=0.00 | lambda=1.013 | eps=1.000
TCGA-18-3407-LUSC.svs | ep 19 | R=0.987 | zoom=0.50 | lambda=1.013 | eps=1.000
TCGA-18-3407-LUSC.svs | ep 20 | R=0.987 | zoom=0.50 | lambda=1.013 | eps=1.000
Initialized DynamicPatchEnv with patch score module: text_align_score
TCGA-18-3408-LUSC.svs | ep 1 | R=0.987 | zoom=0.50 | lambda=1.013 | eps=1.000
TCGA-18-3408-LUSC.svs | ep 2 | R=1.000 | zoom=0.00 | lambda=0.988 | eps=1.000
TCGA-18-3408-LUSC.svs | ep 3 | R=1.000 | zoom=0.00 | lambda=0.963 | eps=1.000
TCGA-18-3408-LUSC.svs | ep 4 | R=0.112 | zoom=1.00 | lambda=0.988 | eps=1.000
TCGA-18-3408-LUSC.svs | ep 5 | R=1.012 | zoom=0.50 | lambda=0.988 | eps=1.000
TCGA-18-3408-LUSC.svs | ep 6 | R=1.000 | zoom=0.00 | lambda=0.963 | eps=1.000
TCGA-18-3408-LUSC.svs | ep 7 | R=1.000 | zoom=0.00 | lambda=0.938 | eps=1.000
TCGA-18-3408-LUSC.svs | ep 8 | R=1.000 | zoom=0.00 | lambda=0.913 | eps=1.000
TCGA-18-3408-LUSC.svs | ep 9 | R=0.262 | zoom=1.00 | lambda=0.938 | eps=1.000
TCGA-18-3408-LUSC.svs | ep 10 | R=1.125 | zoom=0.67 | lambda=0.946 | eps=1.000
